2021-07-15 21:13:52 INFO  DoctorDaoImpl:25 - open session
2021-07-15 21:13:52 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-07-15 21:13:52 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2021-07-15 21:13:52 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2021-07-15 21:13:52 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2021-07-15 21:13:52 INFO  Version:44 - HHH000412: Hibernate ORM core version 5.5.3.Final
2021-07-15 21:13:52 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2021-07-15 21:13:52 DEBUG LocalXmlResourceResolver:63 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 5.4//EN] - [http:// sourceforge.net/hibernate-configuration-5.4.dtd]
2021-07-15 21:13:52 DEBUG JaxbCfgProcessor:117 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2021-07-15 21:13:53 DEBUG Configuration:742 - Building session factory using internal StandardServiceRegistryBuilder
2021-07-15 21:13:53 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2021-07-15 21:13:53 DEBUG Configuration:672 - Building session factory using provided StandardServiceRegistry
2021-07-15 21:13:53 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2021-07-15 21:13:53 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2021-07-15 21:13:53 INFO  Version:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@37bd68c3
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@37bd68c3
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@37bd68c3
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@630cb4a4
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@12dae582
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration yes_no -> org.hibernate.type.YesNoType@1eb6749b
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@4e28bdd1
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@4e28bdd1
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4e28bdd1
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration character -> org.hibernate.type.CharacterType@a8c1f44
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration char -> org.hibernate.type.CharacterType@a8c1f44
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@a8c1f44
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@78a287ed
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@78a287ed
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@78a287ed
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration integer -> org.hibernate.type.IntegerType@2b43529a
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration int -> org.hibernate.type.IntegerType@2b43529a
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@2b43529a
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@2783717b
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@2783717b
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2783717b
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@15eebbff
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@15eebbff
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@15eebbff
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@6e1d8f9e
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@6e1d8f9e
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@6e1d8f9e
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@305f7627
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@305f7627
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@269f4bad
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@269f4bad
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration string -> org.hibernate.type.StringType@26a4842b
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.String -> org.hibernate.type.StringType@26a4842b
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@31e75d13
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@73ff4fae
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration url -> org.hibernate.type.UrlType@1433046b
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1433046b
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration Duration -> org.hibernate.type.DurationType@61bcd567
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@61bcd567
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration Instant -> org.hibernate.type.InstantType@1de5f0ef
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@1de5f0ef
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@3ce3db41
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@3ce3db41
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@7c56e013
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@7c56e013
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@34a1d21f
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@34a1d21f
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2cb3d0f7
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2cb3d0f7
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@1ddae9b5
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@1ddae9b5
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4bf3798b
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4bf3798b
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration date -> org.hibernate.type.DateType@768ccdc5
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@768ccdc5
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration time -> org.hibernate.type.TimeType@1cd201a8
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@1cd201a8
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration timestamp -> org.hibernate.type.TimestampType@21d8bcbe
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@21d8bcbe
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@21d8bcbe
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@7c7d3c46
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration calendar -> org.hibernate.type.CalendarType@b40bb6e
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@b40bb6e
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@b40bb6e
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@2a3591c5
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@482d776b
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration locale -> org.hibernate.type.LocaleType@7a7471ce
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@7a7471ce
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration currency -> org.hibernate.type.CurrencyType@63648ee9
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@63648ee9
2021-07-15 21:13:53 DEBUG BasicTypeRegistry:157 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@24faea88
